X,Y
0,886.182
1,471.798
2,102.446
3,-672.874
4,-399.856
5,598.974
6,780.466
7,905.232
8,55.224
9,-514.167
10,-412.209
11,-35.052
12,440.897
13,1090.680
14,664.103
15,-113.361
16,-586.395
17,-303.120
18,322.688
19,769.165
20,940.815
21,723.877
22,-93.286
23,-733.090
24,-163.244
25,409.293
26,698.896
27,427.826
28,1.630
29,-681.653
30,-269.316
31,-225.891
32,668.612
33,389.713
34,206.921
35,-792.812
36,-664.026
37,-586.917
38,207.419
39,680.685
40,678.492
41,-43.945
42,-719.668
43,-1184.049
44,-437.105
45,22.717
46,992.240
47,582.007
48,60.954
49,-743.913
50,-321.650
51,54.121
52,878.402
53,620.155
