X,Y
0,-0.197275
1,-0.149385
2,-0.086202
3,-0.015057
4,0.056429
5,0.120828
6,0.171298
7,0.202147
8,0.209643
9,0.192780
10,0.153628
11,0.097046
12,0.029896
13,-0.039916
14,-0.104308
15,-0.155831
16,-0.188516
17,-0.198709
18,-0.185655
19,-0.151532
20,-0.100904
21,-0.039873
22,0.024748
23,0.086020
24,0.137334
25,0.172918
26,0.188513
27,0.182098
28,0.154358
29,0.108660
30,0.050532
31,-0.013142
32,-0.074936
33,-0.127660
34,-0.165137
35,-0.182995
36,-0.179327
37,-0.154947
38,-0.113135
39,-0.058974
40,0.001395
41,0.061405
42,0.114556
43,0.154889
44,0.177603
45,0.179768
46,0.160896
47,0.123132
48,0.070935
49,0.010425
50,-0.051395
51,-0.107384
52,-0.150999
53,-0.177077
54,-0.182571
55,-0.167013
56,-0.132500
57,-0.083222
58,-0.024760
59,0.036576
60,0.094247
61,0.141937
62,0.174107
63,0.186698
64,0.177847
65,0.148312
66,0.101411
67,0.042508
68,-0.021719
69,-0.084023
70,-0.137291
71,-0.175301
72,-0.193540
73,-0.189900
74,-0.164989
75,-0.121896
76,-0.065562
77,-0.002046
78,0.062070
